,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,field_name
97,http://orkg.org/orkg/resource/R161787,6,6,24,24,55,0,0,Natural Language Processing
98,http://orkg.org/orkg/resource/R164670,19,21,429,46,259,0,0,Bioinformatics
99,http://orkg.org/orkg/resource/R165700,19,21,434,46,273,0,0,Bioinformatics
100,http://orkg.org/orkg/resource/R165702,8,29,128,30,251,0,0,Natural Language Processing
101,http://orkg.org/orkg/resource/R165794,9,9,20,10,15,0,0,"Information Systems, Process and Knowledge Management"
102,http://orkg.org/orkg/resource/R165866,10,18,326,26,197,0,0,Natural Language Processing
103,http://orkg.org/orkg/resource/R166315,4,4,88,35,130,0,0,Natural Language Processing
104,http://orkg.org/orkg/resource/R172690,4,4,17,14,26,0,0,Natural Language Processing
105,http://orkg.org/orkg/resource/R172704,4,4,5,5,16,0,0,Natural Language Processing
106,http://orkg.org/orkg/resource/R172826,8,8,16,5,29,0,0,Semantic Web
107,http://orkg.org/orkg/resource/R172932,5,5,25,7,15,0,0,Semantic Web
108,http://orkg.org/orkg/resource/R175108,5,5,16,14,56,0,0,Digital Communications and Networking
109,http://orkg.org/orkg/resource/R175304,6,6,30,7,18,0,0,Semantic Web
110,http://orkg.org/orkg/resource/R176017,4,4,7,6,20,0,0,Computer Sciences
111,http://orkg.org/orkg/resource/R176038,9,9,9,10,113,0,0,Computer and Systems Architecture
112,http://orkg.org/orkg/resource/R178164,4,4,7,6,20,0,0,Computer Sciences
113,http://orkg.org/orkg/resource/R178188,4,4,12,7,20,0,0,Computer Sciences
114,http://orkg.org/orkg/resource/R178201,6,6,6,5,30,0,0,Semantic Web
115,http://orkg.org/orkg/resource/R178450,3,3,23,11,8,0,0,Security and Dependability
116,http://orkg.org/orkg/resource/R178479,2,2,9,6,4,0,0,Animal Sciences
117,http://orkg.org/orkg/resource/R186111,11,11,19,7,101,0,0,Software Engineering
