,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
79,,,,,,,,,,285.0,435.0,13.0,135.0,13.0,285.0,26.0
80,,,,,,,,,,1241.0,2025.0,234.0,457.0,190.0,1241.0,102.0
81,,,,,,,,,,588.0,910.0,68.0,266.0,65.0,588.0,38.0
82,,,,,,,,,,46.0,92.0,6.0,0.0,0.0,46.0,6.0
83,,,,,,,,,,1838.0,3111.0,775.0,565.0,516.0,1838.0,12.0
84,,,,,,,,,,316.0,386.0,55.0,246.0,55.0,316.0,38.0
85,,,,,,,,,,283.0,354.0,53.0,212.0,53.0,283.0,31.0
86,,,,,,,,,,351.0,420.0,51.0,282.0,51.0,351.0,37.0
87,,,,,,,,,,320.0,394.0,45.0,246.0,45.0,320.0,30.0
88,,,,,,,,,,86.0,92.0,6.0,80.0,6.0,86.0,19.0
89,,,,,,,,,,104.0,110.0,6.0,98.0,6.0,104.0,24.0
90,,,,,,,,,,98.0,103.0,5.0,93.0,5.0,98.0,26.0
91,,,,,,,,,,123.0,129.0,6.0,117.0,6.0,123.0,36.0
92,,,,,,,,,,729.0,1075.0,129.0,383.0,129.0,729.0,27.0
93,,,,,,,,,,719.0,1064.0,112.0,374.0,112.0,719.0,27.0
94,,,,,,,,,,298.0,439.0,42.0,157.0,42.0,298.0,27.0
95,,,,,,,,,,88.0,93.0,5.0,83.0,5.0,88.0,23.0
96,,,,,,,,,,71.0,76.0,5.0,66.0,5.0,71.0,14.0
97,,,,,,,,,,88.0,93.0,5.0,83.0,5.0,88.0,23.0
98,,,,,,,,,,85.0,90.0,5.0,80.0,5.0,85.0,24.0
99,,,,,,,,,,88.0,93.0,5.0,83.0,5.0,88.0,27.0
100,,,,,,,,,,269.0,352.0,59.0,186.0,59.0,269.0,20.0
101,,,,,,,,,,232.0,301.0,58.0,163.0,58.0,232.0,18.0
102,,,,,,,,,,232.0,301.0,58.0,163.0,58.0,232.0,18.0
103,,,,,,,,,,127.0,138.0,11.0,116.0,11.0,127.0,20.0
104,,,,,,,,,,116.0,123.0,7.0,109.0,7.0,116.0,25.0
105,,,,,,,,,,295.0,457.0,87.0,133.0,73.0,295.0,19.0
106,,,,,,,,,,98.0,134.0,10.0,62.0,10.0,98.0,24.0
107,,,,,,,,,,1095.0,1854.0,257.0,336.0,101.0,1095.0,46.0
108,,,,,,,,,,1126.0,1897.0,262.0,355.0,106.0,1126.0,46.0
109,,,,,,,,,,501.0,700.0,47.0,302.0,43.0,501.0,30.0
110,,,,,,,,,,30.0,45.0,14.0,15.0,13.0,30.0,10.0
111,,,,,,,,,,1027.0,1760.0,256.0,294.0,114.0,1027.0,26.0
112,,,,,,,,,,273.0,431.0,42.0,115.0,42.0,273.0,27.0
113,,,,,,,,,,50.0,70.0,6.0,30.0,6.0,50.0,14.0
114,,,,,,,,,,89.0,123.0,21.0,55.0,17.0,89.0,41.0
115,,,,,,,,,,37.0,45.0,8.0,29.0,8.0,37.0,5.0
116,,,,,,,,,,67.0,125.0,15.0,9.0,8.0,67.0,11.0
117,,,,,,,,,,71.0,86.0,5.0,56.0,5.0,71.0,14.0
118,,,,,,,,,,74.0,136.0,16.0,12.0,9.0,74.0,17.0
119,,,,,,,,,,24.0,28.0,4.0,20.0,4.0,24.0,6.0
120,,,,,,,,,,113.0,113.0,9.0,113.0,9.0,113.0,10.0
121,,,,,,,,,,24.0,28.0,4.0,20.0,4.0,24.0,6.0
122,,,,,,,,,,28.0,36.0,4.0,20.0,4.0,28.0,7.0
123,,,,,,,,,,48.0,64.0,7.0,32.0,6.0,48.0,21.0
124,,,,,,,,,,47.0,75.0,12.0,19.0,9.0,47.0,12.0
125,,,,,,,,,,12.0,20.0,2.0,4.0,2.0,12.0,6.0
126,,,,,,,,,,1924.0,3670.0,743.0,178.0,163.0,1924.0,32.0
127,,,,,,,,,,128.0,166.0,18.0,90.0,18.0,128.0,7.0
128,,,,,,,,,,61.0,80.0,7.0,42.0,7.0,61.0,8.0
129,,,,,,,,,,179.0,230.0,24.0,128.0,20.0,179.0,24.0
130,,,,,,,,,,85.0,136.0,17.0,34.0,17.0,85.0,5.0
131,,,,,,,,,,112.0,140.0,14.0,84.0,14.0,112.0,8.0
132,,,,,,,,,,79.0,125.0,11.0,33.0,11.0,79.0,7.0
133,,,,,,,,,,172.0,318.0,25.0,26.0,12.0,172.0,27.0
134,,,,,,,,,,226.0,325.0,37.0,127.0,37.0,226.0,19.0
135,,,,,,,,,,95.0,125.0,20.0,65.0,20.0,95.0,8.0
136,,,,,,,,,,168.0,232.0,31.0,104.0,31.0,168.0,11.0
137,,,,,,,,,,273.0,466.0,39.0,80.0,18.0,273.0,12.0
138,,,,,,,,,,128.0,229.0,26.0,27.0,11.0,128.0,7.0
139,,,,,,,,,,70.0,103.0,15.0,37.0,15.0,70.0,7.0
140,,,,,,,,,,172.0,318.0,25.0,26.0,12.0,172.0,27.0
141,,,,,,,,,,163.0,250.0,25.0,76.0,22.0,163.0,23.0
142,,,,,,,,,,170.0,274.0,20.0,66.0,20.0,170.0,17.0
143,,,,,,,,,,98.0,157.0,14.0,39.0,14.0,98.0,16.0
144,,,,,,,,,,202.0,308.0,34.0,96.0,34.0,202.0,18.0
145,,,,,,,,,,202.0,308.0,34.0,96.0,34.0,202.0,18.0
146,,,,,,,,,,172.0,318.0,25.0,26.0,12.0,172.0,27.0
147,,,,,,,,,,553.0,1003.0,105.0,103.0,38.0,553.0,28.0
148,,,,,,,,,,1091.0,1610.0,253.0,572.0,128.0,1091.0,74.0
149,,,,,,,,,,115.0,147.0,13.0,83.0,13.0,115.0,7.0
150,,,,,,,,,,263.0,396.0,47.0,130.0,41.0,263.0,27.0
151,,,,,,,,,,987.0,1413.0,143.0,561.0,116.0,987.0,48.0
152,,,,,,,,,,242.0,350.0,35.0,134.0,35.0,242.0,13.0
153,,,,,,,,,,193.0,302.0,24.0,84.0,23.0,193.0,15.0
154,,,,,,,,,,339.0,531.0,34.0,147.0,18.0,339.0,20.0
155,,,,,,,,,,4175.0,6557.0,298.0,1793.0,282.0,4175.0,75.0
156,,,,,,,,,,339.0,531.0,34.0,147.0,18.0,339.0,20.0
157,,,,,,,,,,6079.0,9483.0,369.0,2675.0,352.0,6079.0,83.0
158,,,,,,,,,,614.0,981.0,87.0,247.0,80.0,614.0,29.0
159,,,,,,,,,,346.0,554.0,43.0,138.0,38.0,346.0,16.0
160,,,,,,,,,,452.0,737.0,51.0,167.0,40.0,452.0,25.0
161,,,,,,,,,,196.0,362.0,13.0,30.0,10.0,196.0,26.0
162,,,,,,,,,,592.0,954.0,77.0,230.0,69.0,592.0,25.0
163,,,,,,,,,,264.0,407.0,42.0,121.0,40.0,264.0,21.0
164,,,,,,,,,,393.0,625.0,42.0,161.0,36.0,393.0,21.0
165,,,,,,,,,,1094.0,1698.0,203.0,490.0,170.0,1094.0,43.0
166,,,,,,,,,,76.0,123.0,13.0,29.0,7.0,76.0,23.0
167,,,,,,,,,,138.0,212.0,32.0,64.0,32.0,138.0,4.0
168,,,,,,,,,,315.0,315.0,23.0,315.0,23.0,315.0,39.0
169,,,,,,,,,,315.0,315.0,23.0,315.0,23.0,315.0,39.0
170,,,,,,,,,,888.0,1439.0,165.0,337.0,86.0,888.0,82.0
171,,,,,,,,,,1094.0,1698.0,203.0,490.0,170.0,1094.0,43.0
172,,,,,,,,,,1094.0,1698.0,203.0,490.0,170.0,1094.0,43.0
173,,,,,,,,,,192.0,311.0,21.0,73.0,11.0,192.0,17.0
174,,,,,,,,,,76.0,123.0,13.0,29.0,7.0,76.0,23.0
175,,,,,,,,,,107.0,207.0,17.0,7.0,5.0,107.0,7.0
